Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:60435000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
60435000;1;01/05/2019;;1;1;3,6;1,638;2,11;3;28;1;1;1;;0;2,435;2,435;3,6;3,136;2,606;2,52;2,52;2,435;2,269;2,186;2,146;2,105;2,105;2,025;2,025;2,025;1,946;1,946;1,946;1,867;1,867;1,867;1,828;1,713;1,79;1,79;1,713;1,638;1,638;1,638;1,638;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60435000;1;01/04/2019;;1;1;8,669;2,551;3,654;11;3;1;1;1;;0;2,915;2,731;2,551;3,102;2,731;2,731;2,551;3,878;3,196;3,102;8,669;5,126;4,49;4,805;5,451;6,006;4,7;3,387;3,387;3,196;3,387;3,484;3,484;3,291;3,102;3,008;2,869;3,008;2,641;2,641;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
60435000;1;01/03/2019;;1;1;6,119;1,864;3,03;28;1;1;1;1;;0;1,864;1,864;1,864;1,864;1,864;4,284;2,823;2,374;2,374;2,03;3,484;2,915;2,374;2,287;2,115;3,008;3,387;2,915;4,284;2,551;2,823;3,008;3,979;3,387;3,055;3,008;4,08;6,119;4,49;3,779;3,68;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60435000;1;01/02/2019;;1;1;2,551;1,39;1,864;19;5;1;1;1;;0;1,544;1,466;1,428;1,428;1,39;1,783;1,702;1,544;2,243;1,947;2,115;2,03;1,947;2,03;1,864;1,702;2,287;2,374;2,551;2,2;2,03;1,864;1,864;1,864;1,783;1,544;1,544;2,115;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
60435000;1;01/01/2019;;1;1;11,307;1,544;2,478;12;31;1;1;1;;0;2,551;2,287;2,2;1,947;2,915;2,777;2,551;2,2;2,03;2,03;2,915;11,307;4,805;2,731;2,374;2,2;2,115;2,115;1,947;1,947;1,864;1,864;1,783;1,702;1,702;1,702;1,702;1,702;1,702;1,622;1,544;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60435000;1;01/12/2018;;1;1;6,69;1,823;2,975;6;21;1;1;1;;0;2,2;2,287;3,102;4,595;5,234;6,69;4,08;4,181;4,181;3,102;2,777;2,596;2,374;2,374;2,33;2,243;2,2;1,988;1,988;1,864;1,823;1,823;1,947;2,115;3,779;3,387;2,823;3,196;3,484;2,915;2,551;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60435000;1;01/11/2018;;1;1;5,072;0,569;2,489;17;1;1;1;1;;0;0,569;0,569;0,599;0,723;0,955;1,544;1,314;1,39;2,287;2,915;2,287;2,2;1,947;1,864;4,911;4,49;5,072;3,339;2,641;2,462;2,462;2,462;2,2;3,102;3,979;4,911;3,979;2,915;2,374;2,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
60435000;1;01/10/2018;;1;1;1,947;0,154;0,524;25;1;1;1;1;;0;0,154;0,198;0,154;0,154;0,154;0,154;0,221;0,198;0,692;0,821;0,344;0,344;0,268;0,268;0,268;0,244;0,268;0,244;1,783;0,51;0,51;0,629;0,629;1,466;1,947;0,755;0,692;0,599;0,599;0,51;0,453;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60435000;1;01/09/2018;;1;1;0,244;0,114;0,167;20;30;1;1;1;;0;0,154;0,154;0,154;0,154;0,154;0,154;0,154;0,154;0,154;0,176;0,154;0,154;0,154;0,154;0,154;0,154;0,198;0,198;0,198;0,244;0,244;0,221;0,176;0,154;0,154;0,154;0,154;0,154;0,154;0,114;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
60435000;1;01/08/2018;;1;1;0,692;0,244;0,351;16;29;1;1;1;;0;0,371;0,371;0,371;0,371;0,371;0,371;0,371;0,371;0,371;0,371;0,371;0,371;0,371;0,268;0,268;0,692;0,344;0,344;0,453;0,371;0,344;0,344;0,344;0,344;0,344;0,293;0,293;0,293;0,244;0,244;0,244;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
