"Cod_estacao"	"Data"	"Vazao"
"60436190"	"2007-07-25"	4.9351
"60436190"	"2007-07-26"	4.7759
"60436190"	"2007-07-27"	4.7759
"60436190"	"2007-07-28"	4.7759
"60436190"	"2007-07-29"	4.6971
"60436190"	"2007-07-30"	5.1782
"60436190"	"2007-07-31"	4.8552
"60436190"	"2007-08-01"	4.7759
"60436190"	"2007-08-02"	4.9351
"60436190"	"2007-08-03"	4.8552
"60436190"	"2007-08-04"	4.6971
"60436190"	"2007-08-05"	4.8552
"60436190"	"2007-08-06"	4.6189
"60436190"	"2007-08-07"	4.8552
"60436190"	"2007-08-08"	4.6971
"60436190"	"2007-08-09"	4.7759
"60436190"	"2007-08-10"	4.5413
"60436190"	"2007-08-11"	4.5413
"60436190"	"2007-08-12"	4.7759
"60436190"	"2007-08-13"	4.6189
"60436190"	"2007-08-14"	4.6189
"60436190"	"2007-08-15"	4.5413
"60436190"	"2007-08-16"	4.9351
"60436190"	"2007-08-17"	5.0966
"60436190"	"2007-08-18"	4.6971
"60436190"	"2007-08-19"	4.5413
"60436190"	"2007-08-20"	4.6189
"60436190"	"2007-08-21"	4.7759
"60436190"	"2007-08-22"	4.4643
"60436190"	"2007-08-23"	4.6189
"60436190"	"2007-08-24"	4.4643
"60436190"	"2007-08-25"	4.4643
"60436190"	"2007-08-26"	4.5413
"60436190"	"2007-08-27"	4.6971
"60436190"	"2007-08-28"	4.3878
"60436190"	"2007-08-29"	4.3878
"60436190"	"2007-08-30"	4.0877
"60436190"	"2007-08-31"	4.3119
"60436190"	"2007-09-01"	4.3119
"60436190"	"2007-09-02"	4.3119
"60436190"	"2007-09-03"	4.0141
"60436190"	"2007-09-04"	4.1618
"60436190"	"2007-09-05"	4.0141
"60436190"	"2007-09-06"	4.1618
"60436190"	"2007-09-07"	4.1618
"60436190"	"2007-09-08"	4.2366
"60436190"	"2007-09-09"	4.2366
"60436190"	"2007-09-10"	4.1618
"60436190"	"2007-09-11"	4.0141
"60436190"	"2007-09-12"	4.2366
"60436190"	"2007-09-13"	4.1618
"60436190"	"2007-09-14"	3.9411
"60436190"	"2007-09-15"	3.9411
"60436190"	"2007-09-16"	4.1618
"60436190"	"2007-09-17"	4.2366
"60436190"	"2007-09-18"	4.0877
"60436190"	"2007-09-19"	3.8687
"60436190"	"2007-09-20"	4.0141
"60436190"	"2007-09-21"	4.2366
"60436190"	"2007-09-22"	3.8687
"60436190"	"2007-09-23"	3.7969
"60436190"	"2007-09-24"	4.0141
"60436190"	"2007-09-25"	3.8687
"60436190"	"2007-09-26"	3.7969
"60436190"	"2007-09-27"	4.0141
"60436190"	"2007-09-28"	3.7969
"60436190"	"2007-09-29"	3.7969
"60436190"	"2007-09-30"	3.9411
"60436190"	"2007-10-01"	4.0141
"60436190"	"2007-10-02"	3.7256
"60436190"	"2007-10-03"	3.5849
"60436190"	"2007-10-04"	3.655
"60436190"	"2007-10-05"	3.7969
"60436190"	"2007-10-06"	3.5154
"60436190"	"2007-10-07"	3.5154
"60436190"	"2007-10-08"	3.7969
"60436190"	"2007-10-09"	3.5849
"60436190"	"2007-10-10"	3.5849
"60436190"	"2007-10-11"	3.5154
"60436190"	"2007-10-12"	3.655
"60436190"	"2007-10-13"	3.5154
"60436190"	"2007-10-14"	3.655
"60436190"	"2007-10-15"	3.5154
"60436190"	"2007-10-16"	3.7256
"60436190"	"2007-10-17"	5.1782
"60436190"	"2007-10-18"	3.8687
"60436190"	"2007-10-19"	4.0141
"60436190"	"2007-10-20"	6.201
"60436190"	"2007-10-21"	7.0203
"60436190"	"2007-10-22"	4.0141
"60436190"	"2007-10-23"	3.7969
"60436190"	"2007-10-24"	5.5102
"60436190"	"2007-10-25"	4.0141
"60436190"	"2007-10-26"	3.8687
"60436190"	"2007-10-27"	4.3878
"60436190"	"2007-10-28"	3.9411
"60436190"	"2007-10-29"	7.3985
"60436190"	"2007-10-30"	4.1618
"60436190"	"2007-10-31"	3.8687
"60436190"	"2007-11-01"	5.6796
"60436190"	"2007-11-02"	6.025
"60436190"	"2007-11-03"	5.3431
"60436190"	"2007-11-04"	11.0697
"60436190"	"2007-11-05"	4.4643
"60436190"	"2007-11-06"	3.9411
"60436190"	"2007-11-07"	3.8687
"60436190"	"2007-11-08"	6.9271
"60436190"	"2007-11-09"	7.8835
"60436190"	"2007-11-10"	4.7759
"60436190"	"2007-11-11"	17.5332
"60436190"	"2007-11-12"	10.73
"60436190"	"2007-11-13"	5.0966
"60436190"	"2007-11-14"	5.5946
"60436190"	"2007-11-15"	4.2366
"60436190"	"2007-11-16"	4.0877
"60436190"	"2007-11-17"	4.0877
"60436190"	"2007-11-18"	3.8687
"60436190"	"2007-11-19"	5.0966
"60436190"	"2007-11-20"	5.6796
"60436190"	"2007-11-21"	7.4945
"60436190"	"2007-11-22"	4.4643
"60436190"	"2007-11-23"	4.6189
"60436190"	"2007-11-24"	5.1782
"60436190"	"2007-11-25"	4.9351
"60436190"	"2007-11-26"	9.6314
"60436190"	"2007-11-27"	6.2899
"60436190"	"2007-11-28"	4.6189
"60436190"	"2007-11-29"	6.9271
"60436190"	"2007-11-30"	9.7389
"60436190"	"2007-12-01"	7.3032
"60436190"	"2007-12-02"	7.0203
"60436190"	"2007-12-03"	5.1782
"60436190"	"2007-12-04"	4.4643
"60436190"	"2007-12-05"	4.3119
"60436190"	"2007-12-06"	11.88
"60436190"	"2007-12-07"	40.9474
"60436190"	"2007-12-08"	9.6314
"60436190"	"2007-12-09"	6.8344
"60436190"	"2007-12-10"	5.7651
"60436190"	"2007-12-11"	15.3673
"60436190"	"2007-12-12"	7.7854
"60436190"	"2007-12-13"	7.3032
"60436190"	"2007-12-14"	7.5909
"60436190"	"2007-12-15"	6.1127
"60436190"	"2007-12-16"	54.2553
"60436190"	"2007-12-17"	8.483
"60436190"	"2007-12-18"	10.73
"60436190"	"2007-12-19"	8.1808
"60436190"	"2007-12-20"	7.114
"60436190"	"2007-12-21"	6.2899
"60436190"	"2007-12-22"	6.201
"60436190"	"2007-12-23"	5.5946
"60436190"	"2007-12-24"	5.4264
"60436190"	"2007-12-25"	5.1782
"60436190"	"2007-12-26"	5.6796
"60436190"	"2007-12-27"	5.1782
"60436190"	"2007-12-28"	4.8552
"60436190"	"2007-12-29"	4.6189
"60436190"	"2007-12-30"	4.7759
"60436190"	"2007-12-31"	7.114
"60436190"	"2008-01-01"	5.2604
"60436190"	"2008-01-02"	4.7759
"60436190"	"2008-01-03"	4.8552
"60436190"	"2008-01-04"	6.1127
"60436190"	"2008-01-05"	5.0156
"60436190"	"2008-01-06"	17.3942
"60436190"	"2008-01-07"	59.3649
"60436190"	"2008-01-08"	8.281
"60436190"	"2008-01-09"	15.2361
"60436190"	"2008-01-10"	8.1808
"60436190"	"2008-01-11"	6.9271
"60436190"	"2008-01-12"	6.201
"60436190"	"2008-01-13"	6.5597
"60436190"	"2008-01-14"	11.1839
"60436190"	"2008-01-15"	5.7651
"60436190"	"2008-01-16"	7.7854
"60436190"	"2008-01-17"	6.2899
"60436190"	"2008-01-18"	34.1633
"60436190"	"2008-01-19"	9.7389
"60436190"	"2008-01-20"	17.6727
"60436190"	"2008-01-21"	16.2996
"60436190"	"2008-01-22"	19.0939
"60436190"	"2008-01-23"	22.6983
"60436190"	"2008-01-24"	29.999
"60436190"	"2008-01-25"	25.5779
"60436190"	"2008-01-26"	14.2039
"60436190"	"2008-01-27"	11.5297
"60436190"	"2008-01-28"	10.1743
"60436190"	"2008-01-29"	9.3119
"60436190"	"2008-01-30"	10.5062
"60436190"	"2008-01-31"	13.9508
"60436190"	"2008-02-01"	11.9978
"60436190"	"2008-02-02"	9.847
"60436190"	"2008-02-03"	34.3497
"60436190"	"2008-02-04"	23.0108
"60436190"	"2008-02-05"	15.499
"60436190"	"2008-02-06"	14.459
"60436190"	"2008-02-07"	13.2034
"60436190"	"2008-02-08"	10.956
"60436190"	"2008-02-09"	11.2987
"60436190"	"2008-02-10"	9.847
"60436190"	"2008-02-11"	9.2064
"60436190"	"2008-02-12"	11.2987
"60436190"	"2008-02-13"	20.7122
"60436190"	"2008-02-14"	11.9978
"60436190"	"2008-02-15"	30.3517
"60436190"	"2008-02-16"	13.825
"60436190"	"2008-02-17"	12.1161
"60436190"	"2008-02-18"	44.2254
"60436190"	"2008-02-19"	23.0108
"60436190"	"2008-02-20"	21.7718
"60436190"	"2008-02-21"	23.1678
"60436190"	"2008-02-22"	19.9695
"60436190"	"2008-02-23"	23.1678
"60436190"	"2008-02-24"	22.6983
"60436190"	"2008-02-25"	102.684
"60436190"	"2008-02-26"	48.26
"60436190"	"2008-02-27"	56.0902
"60436190"	"2008-02-28"	41.5536
"60436190"	"2008-02-29"	45.062
"60436190"	"2008-03-01"	54.7116
"60436190"	"2008-03-02"	37.7798
"60436190"	"2008-03-03"	32.1423
"60436190"	"2008-03-04"	42.5726
"60436190"	"2008-03-05"	38.1696
"60436190"	"2008-03-06"	29.999
"60436190"	"2008-03-07"	27.9204
"60436190"	"2008-03-08"	26.7379
"60436190"	"2008-03-09"	26.0723
"60436190"	"2008-03-10"	23.8003
"60436190"	"2008-03-11"	32.871
"60436190"	"2008-03-12"	23.9596
"60436190"	"2008-03-13"	21.619
"60436190"	"2008-03-14"	19.9695
"60436190"	"2008-03-15"	18.6625
"60436190"	"2008-03-16"	17.6727
"60436190"	"2008-03-17"	16.9801
"60436190"	"2008-03-18"	15.7639
"60436190"	"2008-03-19"	29.648
"60436190"	"2008-03-20"	45.062
"60436190"	"2008-03-21"	23.4831
"60436190"	"2008-03-22"	34.3497
"60436190"	"2008-03-23"	21.3149
"60436190"	"2008-03-24"	22.6983
"60436190"	"2008-03-25"	22.6983
"60436190"	"2008-03-26"	20.7122
"60436190"	"2008-03-27"	18.6625
"60436190"	"2008-03-28"	17.1177
"60436190"	"2008-03-29"	16.4347
"60436190"	"2008-03-30"	113.752
"60436190"	"2008-03-31"	34.9115
"60436190"	"2008-04-01"	29.2989
"60436190"	"2008-04-02"	28.9515
"60436190"	"2008-04-03"	23.9596
"60436190"	"2008-04-04"	21.3149
"60436190"	"2008-04-05"	19.5296
"60436190"	"2008-04-06"	18.2355
"60436190"	"2008-04-07"	17.1177
"60436190"	"2008-04-08"	19.2387
"60436190"	"2008-04-09"	21.3149
"60436190"	"2008-04-10"	18.5197
"60436190"	"2008-04-11"	24.1193
"60436190"	"2008-04-12"	21.925
"60436190"	"2008-04-13"	19.8224
"60436190"	"2008-04-14"	18.6625
"60436190"	"2008-04-15"	17.2557
"60436190"	"2008-04-16"	16.9801
"60436190"	"2008-04-17"	16.0308
"60436190"	"2008-04-18"	20.4138
"60436190"	"2008-04-19"	17.5332
"60436190"	"2008-04-20"	16.7065
"60436190"	"2008-04-21"	15.7639
"60436190"	"2008-04-22"	16.4347
"60436190"	"2008-04-23"	15.2361
"60436190"	"2008-04-24"	14.5873
"60436190"	"2008-04-25"	14.0771
"60436190"	"2008-04-26"	12.9583
"60436190"	"2008-04-27"	12.8365
"60436190"	"2008-04-28"	12.1161
"60436190"	"2008-04-29"	11.6459
"60436190"	"2008-04-30"	11.4139
"60436190"	"2008-05-01"	10.956
"60436190"	"2008-05-02"	10.5062
"60436190"	"2008-05-03"	10.2844
"60436190"	"2008-05-04"	9.847
"60436190"	"2008-05-05"	9.7389
"60436190"	"2008-05-06"	9.4179
"60436190"	"2008-05-07"	9.6314
"60436190"	"2008-05-08"	9.3119
"60436190"	"2008-05-09"	9.2064
"60436190"	"2008-05-10"	8.7899
"60436190"	"2008-05-11"	8.7899
"60436190"	"2008-05-12"	8.281
"60436190"	"2008-05-13"	8.1808
"60436190"	"2008-05-14"	8.1808
"60436190"	"2008-05-15"	7.8835
"60436190"	"2008-05-16"	7.982
"60436190"	"2008-05-17"	7.6879
"60436190"	"2008-05-18"	7.5909
"60436190"	"2008-05-19"	7.7854
"60436190"	"2008-05-20"	7.3985
"60436190"	"2008-05-21"	7.5909
"60436190"	"2008-05-22"	7.5909
"60436190"	"2008-05-23"	7.3032
"60436190"	"2008-05-24"	7.0203
"60436190"	"2008-05-25"	7.2083
"60436190"	"2008-05-26"	7.0203
"60436190"	"2008-05-27"	7.114
"60436190"	"2008-05-28"	7.0203
"60436190"	"2008-05-29"	7.2083
"60436190"	"2008-05-30"	7.0203
"60436190"	"2008-05-31"	6.9271
"60436190"	"2008-06-01"	7.0203
"60436190"	"2008-06-02"	6.6507
"60436190"	"2008-06-03"	6.7423
"60436190"	"2008-06-04"	6.5597
"60436190"	"2008-06-05"	6.5597
"60436190"	"2008-06-06"	6.4692
"60436190"	"2008-06-07"	6.4692
"60436190"	"2008-06-08"	6.6507
"60436190"	"2008-06-09"	6.201
"60436190"	"2008-06-10"	6.2899
"60436190"	"2008-06-11"	6.1127
"60436190"	"2008-06-12"	6.025
"60436190"	"2008-06-13"	5.8512
"60436190"	"2008-06-14"	5.9378
"60436190"	"2008-06-15"	5.7651
"60436190"	"2008-06-16"	5.6796
"60436190"	"2008-06-17"	5.8512
"60436190"	"2008-06-18"	5.8512
"60436190"	"2008-06-19"	5.6796
"60436190"	"2008-06-20"	5.6796
"60436190"	"2008-06-21"	5.5946
"60436190"	"2008-06-22"	5.5102
"60436190"	"2008-06-23"	5.4264
"60436190"	"2008-06-24"	5.4264
"60436190"	"2008-06-25"	5.5946
"60436190"	"2008-06-26"	5.4264
"60436190"	"2008-06-27"	5.4264
"60436190"	"2008-06-28"	5.5102
"60436190"	"2008-06-29"	5.1782
"60436190"	"2008-06-30"	5.3431
"60436190"	"2008-07-01"	5.2604
"60436190"	"2008-07-02"	5.3431
"60436190"	"2008-07-03"	5.1782
"60436190"	"2008-07-04"	5.2604
"60436190"	"2008-07-05"	5.2604
"60436190"	"2008-07-06"	5.0156
"60436190"	"2008-07-07"	5.0966
"60436190"	"2008-07-08"	5.1782
"60436190"	"2008-07-09"	5.1782
"60436190"	"2008-07-10"	5.0156
"60436190"	"2008-07-11"	5.2604
"60436190"	"2008-07-12"	5.0966
"60436190"	"2008-07-13"	4.9351
"60436190"	"2008-07-14"	4.9351
"60436190"	"2008-07-15"	4.9351
"60436190"	"2008-07-16"	5.0156
"60436190"	"2008-07-17"	4.8552
"60436190"	"2008-07-18"	4.9351
"60436190"	"2008-07-19"	4.7759
"60436190"	"2008-07-20"	4.7759
"60436190"	"2008-07-21"	4.8552
"60436190"	"2008-07-22"	4.6971
"60436190"	"2008-07-23"	4.8552
"60436190"	"2008-07-24"	4.7759
"60436190"	"2008-07-25"	4.9351
"60436190"	"2008-07-26"	4.6971
"60436190"	"2008-07-27"	4.5413
"60436190"	"2008-07-28"	4.5413
"60436190"	"2008-07-29"	4.6971
"60436190"	"2008-07-30"	4.5413
"60436190"	"2008-07-31"	4.6189
"60436190"	"2008-08-01"	4.4643
"60436190"	"2008-08-02"	4.4643
"60436190"	"2008-08-03"	4.4643
"60436190"	"2008-08-04"	4.6189
"60436190"	"2008-08-05"	4.6189
"60436190"	"2008-08-06"	4.6189
"60436190"	"2008-08-07"	4.5413
"60436190"	"2008-08-08"	4.3119
"60436190"	"2008-08-09"	4.4643
"60436190"	"2008-08-10"	4.3119
"60436190"	"2008-08-11"	4.4643
"60436190"	"2008-08-12"	4.3119
"60436190"	"2008-08-13"	4.3119
"60436190"	"2008-08-14"	4.4643
"60436190"	"2008-08-15"	4.3119
"60436190"	"2008-08-16"	4.3119
"60436190"	"2008-08-17"	4.2366
"60436190"	"2008-08-18"	4.2366
"60436190"	"2008-08-19"	4.3878
"60436190"	"2008-08-20"	4.2366
"60436190"	"2008-08-21"	4.3119
"60436190"	"2008-08-22"	4.3119
"60436190"	"2008-08-23"	4.0877
"60436190"	"2008-08-24"	4.0141
"60436190"	"2008-08-25"	4.0877
"60436190"	"2008-08-26"	4.1618
"60436190"	"2008-08-27"	4.2366
"60436190"	"2008-08-28"	4.0877
